article_id,article_title,article_date,event
0,Ecotourism Is The Solution To Overtourism,2019-07-20T01:30:00.000Z,Overtourism is a grave challenge that is harming the entire tourism industry.
0,Ecotourism Is The Solution To Overtourism,2019-07-20T01:30:00.000Z,"Overtourism has been covered in media and publications increasingly as a problem that stems from the very concept of travel, even if Overtourism encompasses just a small part of the very concept of travel."
0,Ecotourism Is The Solution To Overtourism,2019-07-20T01:30:00.000Z,"Overtourism is not only completely unsustainable, Overtourism is a growing problem that should be taken seriously."
0,Ecotourism Is The Solution To Overtourism,2019-07-20T01:30:00.000Z,"Policy responses to Overtourism are, in many cases, as clumsy and ill-considered as the policies which produced Overtourism in the first place."
0,Ecotourism Is The Solution To Overtourism,2019-07-20T01:30:00.000Z,Overtourism can negatively affect travelers’ sentiment as well as the small-scale sustainable tourism industry.
0,Ecotourism Is The Solution To Overtourism,2019-07-20T01:30:00.000Z,"Let us be clear from the outset: Overtourism does not result from ecotourism, and the principles of those who extol increasing tourism revenue to a destination at any cost are completely antithetical to those of ecotourism."
0,Ecotourism Is The Solution To Overtourism,2019-07-20T01:30:00.000Z,Overtourism—which in Overtourism—which in its simplest form is tourism that harms communities by overuse or destruction of resources through overcrowding's simplest form is tourism that harms communities by overuse or destruction of resources through overcrowding—stems from a lack of concern about destination community health and welfare.
0,Ecotourism Is The Solution To Overtourism,2019-07-20T01:30:00.000Z,"Again, a lack of concern about destination community health and welfare is entirely the opposite of the fundamental tenet of ecotourism."
1,DPL Handwara gets J&K Bank ATM,2019-07-20T01:30:00.000Z,"Adding one more Automated Teller Machine (ATM) to its network of alternate delivery channels, its on Thursday commissioned one more Automated Teller Machine (ATM in District Police Lines (DPL) complex at Tutigund, Handwara."
1,DPL Handwara gets J&K Bank ATM,2019-07-20T01:30:00.000Z,"its's Zonal Head Kashmir (North), Karanjit Singh inaugurated one more Automated Teller Machine (ATM jointly withDeputy Superintendent of Police (DySP) DPL Tutigund, Farooq Ahmad Wani in presence of its's Cluster Head Bashir Ahmad, Head Business Unit Kullangam Tariq Ahmad and patron civil society Kullangam Habibullah Shiekh amid a gathering of valuable customers, senior citizens, officials of its and the police department."
2,"Tourism bodies seek fresh promotions to boost arrivals in autumn, winter",2019-07-20T01:30:00.000Z,"Pin hopes on Navin Choudhary While pinning its hopes on Navin Choudhary, its Friday urged its to start second phase of tourism promotional campaigns from the month of August within and outside the country to boost tourist arrivals for upcoming autumn and winter seasons."
3,SSB Memorial 7-A side to kick off from Wednesday,2019-07-20T01:30:00.000Z,Al Murad Sports Club Kreeri is going to organize second edition of Shaheed Dr. Syed Shujaat Bukhari Memorial Football Championship 7-A side at Higher Secondary ground Kreeri Baramulla.
3,SSB Memorial 7-A side to kick off from Wednesday,2019-07-20T01:30:00.000Z,Entry forms are available at Aashiq News Agency Kreeri and Ahad Studio Kreeri.
3,SSB Memorial 7-A side to kick off from Wednesday,2019-07-20T01:30:00.000Z,Interested teams/clubs have been asked to contact below mentioned contact numbers for registration.
3,SSB Memorial 7-A side to kick off from Wednesday,2019-07-20T01:30:00.000Z,"91-7780914284, 919696240849, 919596310478."
4,Islamia College organizes run for women,2019-07-20T01:30:00.000Z,"The Cultural Committee, Islamia College of Science and Commerce organised a theme based ""Run for a Healthy Culture"" from Nehru Park to SKICC at 6 in the morning."
4,Islamia College organizes run for women,2019-07-20T01:30:00.000Z,"Principal of Islamia College of Science and Commerce, Prof. Dr Sheikh Ajaz Bashir flagged off a theme based ""Run for a Healthy Culture"" and also accompanied the participants to boost the participants's morale."
4,Islamia College organizes run for women,2019-07-20T01:30:00.000Z,"a theme based ""Run for a Healthy Culture"" was organised for girls only, to emphasize on importance of health for women folk."
5,"DC reviews progress on Shahpur Kandi, Ujh Multipurpose projects",2019-07-20T01:30:00.000Z,"The status of Shahpur Kandi and Ujh Multipurpose projects, besides physical and financial progress under BADP was reviewed by the Deputy Commissioner, Dr. Raghav Langer today, here at a meeting of the concerned agencies."
5,"DC reviews progress on Shahpur Kandi, Ujh Multipurpose projects",2019-07-20T01:30:00.000Z,"Terming Shahpur Kandi and Ujh Multipurpose projects as flagship projects with potential of becoming game changer for Kathua district, the Deputy Commissioner, Dr. Raghav Langer stressed on removing bottlenecks, if any, for timely execution of Shahpur Kandi and Ujh Multipurpose projects."
5,"DC reviews progress on Shahpur Kandi, Ujh Multipurpose projects",2019-07-20T01:30:00.000Z,"the Deputy Commissioner, Dr. Raghav Langer further asked for maintaining close coordination among different departments and stakeholders associated with Shahpur Kandi and Ujh Multipurpose projects."
6,DC Doda flags off Hajj pilgrims,2019-07-20T01:30:00.000Z,"Deputy Commissioner Doda, Dr Sagar D Doifode flagged off 2nd batch of 61 Hajj pilgrims, here today."
6,DC Doda flags off Hajj pilgrims,2019-07-20T01:30:00.000Z,"ADDC Doda Imam Din, SSP Doda Shabir Ahmed Malik, ACR Doda Kaiser Ahmed Bhawani, team of civil and police officers, besides a large number of people were present to see off 2nd batch of 61 Hajj pilgrims."
7,"Labour awareness camps at Gulabgarh, Paddar held",2019-07-20T01:30:00.000Z,"To reach out to the people at the people's doorsteps, Labour Department Kishtwar organised two day awareness camp at Gulabgarh, Paddar."
7,"Labour awareness camps at Gulabgarh, Paddar held",2019-07-20T01:30:00.000Z,"A team of officials headed by Labour Inspector, Fulail Singh educated the participants (building and other construction workers) and locals about benefits of registration."
7,"Labour awareness camps at Gulabgarh, Paddar held",2019-07-20T01:30:00.000Z,"Labour Inspector, Fulail Singh made the participants (building and other construction workers) and locals aware about various schemes for the participants (building and other construction workers) and locals including Education Assistance, Disability and Death Assistance among others."
8,DC takes stock of development activities in Rajouri town,2019-07-20T01:30:00.000Z,"District Development Commissioner, Rajouri Mohammad Aijaz Asad today conducted an extensive tour of Rajouri to take stock of ongoing developmental activities."
8,DC takes stock of development activities in Rajouri town,2019-07-20T01:30:00.000Z,"District Development Commissioner, Rajouri Mohammad Aijaz Asad inspected major works including the development of park, Bus Stand, blacktopping of roads and construction of drainage system in Bella colony and adjoining areas."
9,AYUSH hospital Doda to restarts functioning,2019-07-20T01:30:00.000Z,"To provide the benefits of Ayush medicare to the people, Deputy Commissioner Dr Sagar D Doifode today ordered resumption of the functioning of the Ayush Hospital within the vicinity of Doda city."
9,AYUSH hospital Doda to restarts functioning,2019-07-20T01:30:00.000Z,"As per an order, the DC has allotted a three room residential government quarter, adjoining to additional block of the DC office to ADMO, ISM Doda, for restarting the Ayush Hospital within the vicinity of Doda city, till the alternate arrangement is made."
10,Navin reviews functioning of Tourism Department,2019-07-20T01:30:00.000Z,"Principal Secretary, Tourism & Industries, Navin Kumar Choudhary today reviewed the functioning of Tourism Department, Jammu here today."
10,Navin reviews functioning of Tourism Department,2019-07-20T01:30:00.000Z,"Principal Secretary, Tourism & Industries, Navin Kumar Choudhary enquired about various infrastructure development projects in Jammu Province taken up under different schemes viz."
10,Navin reviews functioning of Tourism Department,2019-07-20T01:30:00.000Z,"PMDP, CAPEX & State Plan."
11,Div Com reviews developmental scenario of Ramban,2019-07-20T01:30:00.000Z,"Inspects Railway project, Yatra arrangements Divisional Commissioner (Div Com), Jammu, Sanjeev Verma chaired a high level meeting at Ramban to review the progress of ongoing railway and NH-44 Four Laning projects besides the arrangements for Yatra."
12,Talk on ‘Poetry as source for History of modern Kashmir’ held at IKS,2019-07-20T01:30:00.000Z,"The Institute of Kashmir Studies (IKS), University of Kashmir (KU) organised a Public Talk by Prof. Shafi Shauq."
12,Talk on ‘Poetry as source for History of modern Kashmir’ held at IKS,2019-07-20T01:30:00.000Z,The title of a Public Talk by Prof. Shafi Shauq was ‘Poetry as a Source for the History of Modern Kashmir (1846-1947)’.
12,Talk on ‘Poetry as source for History of modern Kashmir’ held at IKS,2019-07-20T01:30:00.000Z,"Prof. M. Y. Ganai, Director The Institute of Kashmir Studies (IKS), University of Kashmir (KU), welcomed Prof. Shafi Shauq, and the audience which included senior faculty members, research scholars and students from Social Sciences and Humanities."
13,Farooq pays obeisance at Hazratbal shrine,2019-07-20T01:30:00.000Z,Jammu and Kashmir National Conference party president and Member of Parliament from Srinagar Dr. Farooq Abdullah on Friday offered Friday Congregational prayers at Assar e Sharief Dargah Hazratbal.
13,Farooq pays obeisance at Hazratbal shrine,2019-07-20T01:30:00.000Z,While paying obeisance at Assar e Sharief Dargah Hazratbal Kashmir National Conference party president and Member of Parliament from Srinagar Dr. Farooq Abdullah prayed for peace and prosperity to the state.
13,Farooq pays obeisance at Hazratbal shrine,2019-07-20T01:30:00.000Z,Kashmir National Conference party president and Member of Parliament from Srinagar Dr. Farooq Abdullah supplicated for harmony and tranquility to the people of the state.
13,Farooq pays obeisance at Hazratbal shrine,2019-07-20T01:30:00.000Z,Kashmir National Conference party president and Member of Parliament from Srinagar Dr. Farooq Abdullah also participated in the Majlis- e -Durood o Azkar on the occasion.
13,Farooq pays obeisance at Hazratbal shrine,2019-07-20T01:30:00.000Z,Kashmir National Conference party president and Member of Parliament from Srinagar Dr. Farooq Abdullah also prayed for long lasting peace in the sub continent.
14,3 arrested for abusing girl: Police,2019-07-20T01:30:00.000Z,Police on Friday arrested three individuals involved in physically abusing minor girl inside Dal Lake.
14,3 arrested for abusing girl: Police,2019-07-20T01:30:00.000Z,An official told CNS that Police Station Nigeen received a complaint that minor girl has been physically abused inside Dal Lake.
15,"7 years on, Shalimar channel awaits dredging",2019-07-20T01:30:00.000Z,"Will float fresh tenders in coming months: SE LAWDA More than seven years have passed but the Lakes and Waterways Development Authority (LAWDA) has failed to carry out dredging of Shalimar channel, which now is craving for existence."
16,PDP holds day-long convention at Khanyar,2019-07-20T01:30:00.000Z,"Senior party leaders, functionaries pledge to take party’s mission forward A day-long workers convention of Khanyar assembly segment was held on Friday by party’s with senior party leaders and functionaries attending A day-long workers convention of Khanyar assembly segment."
17,SCPWCR takes suo-moto cognizance of death of twin neonats in LD hospital,2019-07-20T01:30:00.000Z,"The J&K State Commission for Protection of Women & Child Rights (SCPWCR), Friday took suo-moto cognizance of unfortunate death of twin neonats in L D hospital Srinagar and has decided to hold an inquiry committee to find the facts."
17,SCPWCR takes suo-moto cognizance of death of twin neonats in LD hospital,2019-07-20T01:30:00.000Z,The J&K State Commission for Protection of Women & Child Rights (SCPWCR) had come across reports appearing in a section of media about mishandling of cases in L. D hospital in which twin neonats unfortunate death of twin neonats in L D hospital Srinagar twin neonats's lives
18,Rawat reviews operational preparedness at Drass,2019-07-20T01:30:00.000Z,"Chief of Army Staff, General Bipin Rawat on Friday visited Dras sector to review operational preparedness."
18,Rawat reviews operational preparedness at Drass,2019-07-20T01:30:00.000Z,"In a statement issue here, the defense spokesperson said that during visited, Chief of Army Staff, General Bipin Rawat was briefed by the General Officer Commanding, 'Fire & Fury' Corps over the prevailing situation and operational preparedness in Dras sector."
19,JK Cong protests against detention of Priyanka Gandhi in UP,2019-07-20T01:30:00.000Z,Congress workers Friday held a protest here against the detention of party leader Priyanka Gandhi Vadra by police in Uttar Pradesh's Mirzapur district.
19,JK Cong protests against detention of Priyanka Gandhi in UP,2019-07-20T01:30:00.000Z,"party leader Priyanka Gandhi Vadra was on Friday detained and stopped from going to Sonbhadra where 10 people were gunned down this week and taken to a guesthouse after party leader Priyanka Gandhi Vadra squatted on the road, insisting that party leader Priyanka Gandhi Vadra be allowed to proceed."
20,No let-up in stray dog attacks in Uri,2019-07-20T01:30:00.000Z,The stray dog menace continues to unleash terror among the people in this border town of north Kashmir’s Baramulla district as two persons became fresh victims to the canine bite on Friday morning.
20,No let-up in stray dog attacks in Uri,2019-07-20T01:30:00.000Z,"Last week, six persons sustained injuries in a dog bite incident in the area."
21,"DGP releases ‘Beyond Alcoholism, Drug Addiction’",2019-07-20T01:30:00.000Z,"Director General of Police, Dilbag Singh on Friday released a book titled “Beyond Alcoholism and Drug Addiction” written by Ajay Vaid at Police Headquarters, Srinagar."
21,"DGP releases ‘Beyond Alcoholism, Drug Addiction’",2019-07-20T01:30:00.000Z,"On this occasion, Director General of Police, Dilbag Singh said that the narrative of a book titled “Beyond Alcoholism and Drug Addiction” written by Ajay Vaid is the need of the hour."
21,"DGP releases ‘Beyond Alcoholism, Drug Addiction’",2019-07-20T01:30:00.000Z,"Director General of Police, Dilbag Singh said that J&K Police has already tightened the noose on the menace of drugs; many steps are being taken to fight drugs."
21,"DGP releases ‘Beyond Alcoholism, Drug Addiction’",2019-07-20T01:30:00.000Z,"Director General of Police, Dilbag Singh said that a book titled “Beyond Alcoholism and Drug Addiction” written by Ajay Vaid not only provides information about drug abuse and drug abuse's effects but also informs that addiction is a treatable disorder."
22,HC directs LAWDA to submit mapping details of houseboats at Dal Lake,2019-07-20T01:30:00.000Z,The High Court on Friday directed Lakes and Waterways Development Authority (LAWDA) to submit the mapping and details of houseboats which are anchored in the Dal Lake.
22,HC directs LAWDA to submit mapping details of houseboats at Dal Lake,2019-07-20T01:30:00.000Z,The division bench of Chief Justice Gita Mittal and Justice Rashid Ali Dar directed Lakes and Waterways Development Authority (LAWDA) to provide the mapping and details of houseboats which are anchored in the Dal Lake before The High Court by next date of hearing.
23,"6,114 pilgrims pay obeisance at cave shrine",2019-07-20T01:30:00.000Z,"On the 19th day of the ongoing Amarnath yatra, 6,114 yatris paid obeisance at the cave shrine."
23,"6,114 pilgrims pay obeisance at cave shrine",2019-07-20T01:30:00.000Z,"Till date 2, 38,974 yatris had the darshan of the shivling at the cave shrine."
23,"6,114 pilgrims pay obeisance at cave shrine",2019-07-20T01:30:00.000Z,"Today, the upward movement of yatris remained totally suspended from Baltal route due to rain and slippery track conditions."
24,"Union Minister, MLC Randhawa meet Governor",2019-07-20T01:30:00.000Z,"Arvind Ganpat Sawant, Union Minister of Heavy Industries & Public Enterprises, met Governor Satya Pal Malik at the Raj Bhavan here on Friday."
24,"Union Minister, MLC Randhawa meet Governor",2019-07-20T01:30:00.000Z,"Governor Satya Pal Malik and Arvind Ganpat Sawant, Union Minister of Heavy Industries & Public Enterprises discussed about the initiatives required for making Public Sector Enterprises (PSEs) more competitive and the possible avenues for improving the industrial sector and generating employment in J&K."
25,"Faesal tours flash-flood hit areas of Lolab, demands relief to affected families",2019-07-20T01:30:00.000Z,"President, Jammu and Kashmir Peoples Movement, Shah Faesal on Friday visited Khodi Gagal to condole death of Shafiqa Bano (35) in yesterday’s flash-floods in Lolab."
25,"Faesal tours flash-flood hit areas of Lolab, demands relief to affected families",2019-07-20T01:30:00.000Z,Faesal expressed Faesal's sympathies with the bereaved family and called upon DC Kupwara to immediately disburse the ex-gratia relief under SDRF.
25,"Faesal tours flash-flood hit areas of Lolab, demands relief to affected families",2019-07-20T01:30:00.000Z,At Khodi Gagal residents informed Faesal that Khodi Gagal had always been ignored and non-availability of road-link between Khodi Gagal and Surigam has made the life of the people very difficult.
25,"Faesal tours flash-flood hit areas of Lolab, demands relief to affected families",2019-07-20T01:30:00.000Z,"Faesal also took stock of damages caused to crops, private and public property in Surigam and Potushai."
26,ACB to intensify drive against corruption,2019-07-20T01:30:00.000Z,Tainted PSU officials under scanner The Anti-Corruption Bureau (ACB) has decided to widen The Anti-Corruption Bureau (ACB)'s ambit to check rampant corruption and to crack whip on “big fish”— enjoying prime posts in various government owned corporations.
27,Horrendous remarks on 1931 martyrs condemnable: NC,2019-07-20T01:30:00.000Z,"‘Sacrifice of martyrs will continue to be a beacon of struggle of dignity’ Jammu and Kashmir National Conference (NC) on Friday rejected the remarks on the 1931 martyrs by some quarters as horrendous and obnoxious—saying Friday marked the open revolt against a despotic, pitiless and tyrant autocratic government."
28,Govt must work for limiting tobacco availability in JK: Experts,2019-07-20T01:30:00.000Z,"In the wake of poor implementation of Cigarettes and Other Tobacco Products Act (COTPA), expert Thursday said that the state government has to find ways to limit the availability of tobacco products to save susceptible population."
28,Govt must work for limiting tobacco availability in JK: Experts,2019-07-20T01:30:00.000Z,The experts were speaking during a State-level inception cum sensitization workshop on tobacco control which was organized by Directorate of Health Services Kashmir (DHSK) in Srinagar.
29,Police foils militant bid to snatch weapons,2019-07-20T01:30:00.000Z,Militants on Friday evening made an abortive bid to snatch weapons from police at Aamnoo area of Qazigund in south Kashmir’s Kulgam district.
29,Police foils militant bid to snatch weapons,2019-07-20T01:30:00.000Z,"As per reports, militants fired upon a party of special operations group (SOG) while a party of special operations group (SOG) were at a petrol filling station at Aamnoo area of Qazigund in south Kashmir’s Kulgam district."
29,Police foils militant bid to snatch weapons,2019-07-20T01:30:00.000Z,"fired was retaliated by a party of special operations group (SOG) special operations group (SOG) and in the meantime, reinforcements of army’s 9 RR and police reached the spot and launched the searches in Aamnoo area of Qazigund in south Kashmir’s Kulgam district."
30,"Lok Sabha passes NHRC amendment bill, govt assures protection of human rights",2019-07-20T01:30:00.000Z,"The Lok Sabha on Friday passed a bill to expedite the process of appointment of chairperson and members of the National Human Rights Commission (NHRC) after the government assured steps were being taken ""round-the-clock"" to protect human rights."
30,"Lok Sabha passes NHRC amendment bill, govt assures protection of human rights",2019-07-20T01:30:00.000Z,"Piloting a bill to expedite the process of appointment of chairperson and members of the National Human Rights Commission (NHRC), 2019 Minister of State (Home Affairs) Nityanand Rai, said changes in a bill to expedite the process of appointment of chairperson and members of the National Human Rights Commission (NHRC) will help in protecting human rights effectively."
31,Spike in road accidents claimed 1006 deaths last year in state,2019-07-20T01:30:00.000Z,"State has witnessed an increase in road accidents and 1006 persons died in mishaps last year, reveals the data of the State Crime Record Bureau (SCRB) for 2018."
31,Spike in road accidents claimed 1006 deaths last year in state,2019-07-20T01:30:00.000Z,According to the data of the State Crime Record Bureau (SCRB) for 2018 1006 persons died in road accidents in 2018.
31,Spike in road accidents claimed 1006 deaths last year in state,2019-07-20T01:30:00.000Z,"Among 1006 persons, 824 were men and 182 women."
32,Pak to grant consular access to Kulbushan Jadhav: Foreign Ministry,2019-07-20T01:30:00.000Z,"Pakistan will grant consular access to Indian national Kulbushan Jadhav according to the Pakistani laws, for which the modalities are being worked out, the Foreign Ministry, has said."
32,Pak to grant consular access to Kulbushan Jadhav: Foreign Ministry,2019-07-20T01:30:00.000Z,the Foreign Ministry also said that Indian national Kulbushan Jadhav had been informed of Indian national Kulbushan Jadhav's rights under the Vienna Convention on consular relations.
33,Protestors block Sgr-Jmu highway over 'missing' man,2019-07-20T01:30:00.000Z,"Angry protestors, demanding to know the whereabouts of a man who went missing from Reasi district last month, blocked the Jammu-Srinagar highway in Ramban's Banihal belt on Friday, officials said."
33,Protestors block Sgr-Jmu highway over 'missing' man,2019-07-20T01:30:00.000Z,"a man who went missing from Reasi district last monthReasi district, went missing from Jungle Gali area of Katra in Reasi district on July 11, Sub-Divisional Magistrate (SDM), Reasi district, Zameer Ahmed said."
34,US security aid to Pakistan will remain suspended pending decisive action: Report,2019-07-20T01:30:00.000Z,"Ahead of Prime Minister Imran Khan's visit to the United States, a Congressional report has said the security assistance to Pakistan would remain suspended pending ""decisive and irreversible"" action against terrorist groups."
34,US security aid to Pakistan will remain suspended pending decisive action: Report,2019-07-20T01:30:00.000Z,"At the direction of President Donald Trump, the United States had suspended the security assistance to Pakistan Pakistan in January 2018."
34,US security aid to Pakistan will remain suspended pending decisive action: Report,2019-07-20T01:30:00.000Z,Prime Minister Imran Khan's visit to the United States is first high-level trip by a Pakistani prime minster to the White House during the President Donald Trump administration.
35,"HC seeks information on transgender people getting education at primary, higher level",2019-07-20T01:30:00.000Z,The High Court on Friday directed the Social Welfare department to inform The High Court about the number of transgender people who are receiving education at both primary and higher level.
35,"HC seeks information on transgender people getting education at primary, higher level",2019-07-20T01:30:00.000Z,The division bench of chief justice Gita Mittal and Justice Rashid Ali Dar directed the Social Welfare department to inform The High Court about the process of admission of transgender people in schools and colleges.
36,PDP leader's PSO shot dead by militants,2019-07-20T01:30:00.000Z,"Militants on Friday shot dead a personal security officer of a PDP leader in Anantnag district, police said."
36,PDP leader's PSO shot dead by militants,2019-07-20T01:30:00.000Z,"shot took place when a PDP leaderPDP , had gone to a mosque in Bijbehara to offer congregational prayers, a police official said."
37,Rehabilitation policy for Kashmiri Pandits on the anvil: Governor,2019-07-20T01:30:00.000Z,"Governor, Satya Pal Malik, Friday said that rehabilitation policy for Kashmiri Pandits is on the anvil and the government is working on the proposal."
37,Rehabilitation policy for Kashmiri Pandits on the anvil: Governor,2019-07-20T01:30:00.000Z,"Addressing the media on the sidelines of launch of electric buses at Sher-i-Kashmir International Conference Centre (SKICC), Malik said the government is formulating a policy for Kashmiri Pandits."
38,Alcoholism and drug abuse: A dangerous combination,2019-07-20T01:30:00.000Z,"Alcoholism and drug addiction being forbidden by divine laws, Alcoholism and drug addiction's procurement gives rise to a number of crimes Alcoholism and drug addiction may be conceptualized as a crime without victim, i.e., addict addict himself is the victim who becomes a prey of Alcoholism and drug addiction's misuse."
38,Alcoholism and drug abuse: A dangerous combination,2019-07-20T01:30:00.000Z,"This devastating melody is eroding the roosts of social, economic and cultural fabric of a Society."
38,Alcoholism and drug abuse: A dangerous combination,2019-07-20T01:30:00.000Z,This devastating melody gives rise to criminality and criminal behavior which eventually leads to social disorganization.
38,Alcoholism and drug abuse: A dangerous combination,2019-07-20T01:30:00.000Z,Alcoholism and drug related offences being victimless crime; Alcoholism and drug related offences fall in the category of public order crimes.
38,Alcoholism and drug abuse: A dangerous combination,2019-07-20T01:30:00.000Z,"Alcoholism and drug habituations have been prevalent in most societies over the ages because of Alcoholism and drug habituations's allegedly pleasurable and relaxing effects or as a means of relieving physical tensions, fatigue and as a stimulant to withstand adversities."
38,Alcoholism and drug abuse: A dangerous combination,2019-07-20T01:30:00.000Z,"Experience has shown that various preventive and punitive measures such as fine, imprisonment or detention for drunkenness and other disorderly behaviors have failed in eliminating Alcoholism and drug habituations."
39,Marriage and Culture: Two sides of the same coin,2019-07-20T01:30:00.000Z,Civilization thrives on attributes of culture on whose sustenance marriage plays an essential role Human beings transcended barriers of barbarism and jungle life in quick succession and modified the way Human beings lived to evolve a life worth living.
39,Marriage and Culture: Two sides of the same coin,2019-07-20T01:30:00.000Z,It is this space of contextual dimension where the law arose to place of prominence to satisfy the test of time.
39,Marriage and Culture: Two sides of the same coin,2019-07-20T01:30:00.000Z,Ancient societies thrived on saga of ‘Mine and Thine’ despite relying on coordinated efforts in a specific community.
39,Marriage and Culture: Two sides of the same coin,2019-07-20T01:30:00.000Z,saga of ‘Mine and Thine’ changed saga of ‘Mine and Thine’'s fate for better and more organized space of thinking in what at present is called as ‘Rule 0f Law ‘over rule of power.
39,Marriage and Culture: Two sides of the same coin,2019-07-20T01:30:00.000Z,"Moreover, the informal way was present already in place to what suited human beings in context of time."
39,Marriage and Culture: Two sides of the same coin,2019-07-20T01:30:00.000Z,To the informal way's place religious sanction was thoroughly touching the dimensions on way of life in a threadbare manner.
39,Marriage and Culture: Two sides of the same coin,2019-07-20T01:30:00.000Z,This dimension got the sobriquet of what we call as personal law of each community attaching with particular religion.
39,Marriage and Culture: Two sides of the same coin,2019-07-20T01:30:00.000Z,"As an analogy we have Muslim personal law, Hindu Laws and so many."
39,Marriage and Culture: Two sides of the same coin,2019-07-20T01:30:00.000Z,Here the task is to bring to fore the intricate relationship between marriages to marriages's superset Culture.
39,Marriage and Culture: Two sides of the same coin,2019-07-20T01:30:00.000Z,In a layman's language culture is synonymous to way of life.
40,US to press Imran to facilitate peace talks with Taliban: White House,2019-07-20T03:34:58.000Z,"Washington: The United States would press Pakistan Prime Minister Imran Khan, who is slated to meet President Donald Trump next week to facilitate peace talks with the Taliban for an intra-Afghan dialogue, the White House said Friday."
40,US to press Imran to facilitate peace talks with Taliban: White House,2019-07-20T03:34:58.000Z,"Pakistan Prime Minister Imran Khan, who is slated to meet President Donald Trump next week to facilitate peace talks with the Taliban for an intra-Afghan dialogue is scheduled to meet President Donald Trump at President Donald Trump's Oval Office on Monday, the first by [&#8230;]"
41,"Iran Guards confiscate British tanker in Strait of Hormuz, UK says it is ‘unacceptable’",2019-07-20T04:01:08.000Z,Tehran: Iran&#8217;s Revolutionary Guards announced Friday Tehran: Iran&#8217;s Revolutionary Guards had confiscated a British tanker in the strategic Strait of Hormuz for breaking &#8220;international maritime rules&#8221;.
41,"Iran Guards confiscate British tanker in Strait of Hormuz, UK says it is ‘unacceptable’",2019-07-20T04:01:08.000Z,"The Stena Impero tanker &#8220;was confiscated by Tehran: Iran&#8217;s Revolutionary Guards at the request of Hormozgan Ports and Maritime Organisation when passing through the strategic Strait of Hormuz, for failing to respect international maritime rules,&#8221; [&#8230;]"
42,9 students killed after car rams into truck on Pune-Solapur highway,2019-07-20T04:08:16.000Z,"Pune: Nine students were killed after Nine students's car rammed into a truck on the Pune-Solapur Highway here in the early hours of Saturday, police said."
42,9 students killed after car rams into truck on Pune-Solapur highway,2019-07-20T04:08:16.000Z,rammed took place around 1.30 am near Kadamwak Wasti.
42,9 students killed after car rams into truck on Pune-Solapur highway,2019-07-20T04:08:16.000Z,"&#8220;Those killed in rammed were returning from Raigarh and heading to Nine students's hometown Yavat, towards Solapur."
42,9 students killed after car rams into truck on Pune-Solapur highway,2019-07-20T04:08:16.000Z,their car rammed into [&#8230;]
43,"BJP govt wants to ‘deport’ Priyanka, ‘jungle raj’ prevailing in UP: Congress",2019-07-20T04:42:00.000Z,New Delhi: The Congress Saturday alleged that the BJP government in Uttar Pradesh wants to &#8220;deport&#8221; party general secretary Priyanka Gandhi Vadra so that party general secretary Priyanka Gandhi Vadra cannot meet the victims of the Sonbhadra clash.
43,"BJP govt wants to ‘deport’ Priyanka, ‘jungle raj’ prevailing in UP: Congress",2019-07-20T04:42:00.000Z,The Congress also alleged that &#8220;jungle raj&#8221; was prevalent in Uttar Pradesh and the BJP government in Uttar Pradesh had failed to take action against the [&#8230;]
44,Body of 45-yr-old recovered in Kokernag,2019-07-20T04:55:29.000Z,Srinagar: Body of a 45-year-old man was recovered in Kokernag area of south Kashmir’s Anantnag district Saturday morning.
44,Body of 45-yr-old recovered in Kokernag,2019-07-20T04:55:29.000Z,"a 45-year-old man was identified as Nizam Din Khan, son of Taj Muhammad Khan, a resident of Choontwad Panzgam."
44,Body of 45-yr-old recovered in Kokernag,2019-07-20T04:55:29.000Z,Body of a 45-year-old man was recovered in Shivhad village.
44,Body of 45-yr-old recovered in Kokernag,2019-07-20T04:55:29.000Z,Reports said that a 45-year-old man was a farmer by profession.
