article_id,article_title,article_date,event,location_prediction,date_prediction
0,Swara Bhasker Takes A Dig At 'The Kashmir Files' Filmmaker Vivek Agnihotri; Gets Trolled!,2022-03-14T09:55:30+00:00,"Amidst the critical and box-office success of 'The Kashmir Files', Vivek Agnihotri has repeatedly expressed how Bollywood has snubbed Vivek Agnihotri.",Bollywood,
1,‘The Kashmir Files’ box office: Film rakes in Rs 231.28 cr on Monday  ,2022-03-29T07:45:33+00:00,Vivek Agnihotri-directorial 'The Kashmir Files' is maintaining its stride at the box office amid the 'RRR' craze.,,
2,Fans Share Newspaper Reports To Prove Atrocities Shown In 'The Kashmir Files' Were Real!,2022-03-15T09:50:32+00:00,"Fans have posted old newspaper clippings, news features, and videos.",,
2,Fans Share Newspaper Reports To Prove Atrocities Shown In 'The Kashmir Files' Were Real!,2022-03-15T09:50:32+00:00,Fans also tried to draw a parallel between the reel and real-life characters.,,
3,"Mob Stops Screening Of 'Bachchhan Paandey', Demands Theatre To Only Screen 'The Kashmir Files'",2022-03-21T13:05:40+00:00,The mob was chanting 'Jai Shree Ram' slogans.,,
4,"After Afghan Conflict, Ukraine War Adds To The Woes As Essential Commodity Prices Soar In Kashmir",2022-03-14T09:55:30+00:00,"Savban Zahoor Khan, the owner of Muzzaffar Jewellers in Hari Singh High Street (HSHS) area of Srinagar, a popular and oldest market of jewellery shops, is sitting idle as no customer has visited Muzzaffar Jewellers in Hari Singh High Street (HSHS) area of Srinagar, a popular and oldest market of jewellery shops for the last many days.",Srinagar,the last many days
5,"Aamir Khan Praises 'The Kashmir Files', Sonam Kapoor Announces Pregnancy And More From Ent",2022-03-21T14:25:35+00:00,Here is all that rocked the world of entertainment news.,,
6,Rajasthan's Kota Imposes Section 144 Till April 21 In View Of 'The Kashmir Files' Screening,2022-03-22T12:25:29+00:00,The city of Kota in Rajasthan has now imposed section 144 to 'maintain law and order in The city of Kota in Rajasthan during The Kashmir Files screening'.,Rajasthan,
7,‘The Kashmir Files’ box office: Vivek Agnihotri-directorial paces towards Rs 250 cr ,2022-03-30T07:45:37+00:00,"The Vivek Agnihotri-directorial raked in a total of Rs 234.03 crore as on Tuesday, as per film critic and trade analyst Taran Adarsh.",,
8,&#039;The Kashmir Files&#039;: Bombay HC dismisses plea against Vivek Agnihotri’s film,2022-03-09T05:45:34+00:00,"At the start of the hearing, the judges asked the petitioner’s lawyer whether the petitioner’s lawyer bothered to read the court’s judgement against the PILs filed against the Alia Bhatt-starrer Gangubai Kathiawadi",,
9,"Kashmir Files Screening Halted, Deepika Padukone's Caption Enrages Twitter And More From Ent",2022-03-12T13:10:29+00:00,The screening of Anupam Kher's The Kashmir Files was halted as a lot of chaos was witnessed at a theatre in Jammu.,Jammu,
9,"Kashmir Files Screening Halted, Deepika Padukone's Caption Enrages Twitter And More From Ent",2022-03-12T13:10:29+00:00,"On the other hand, Deepika Padukone's Instagram caption enraged Twitter.",,
9,"Kashmir Files Screening Halted, Deepika Padukone's Caption Enrages Twitter And More From Ent",2022-03-12T13:10:29+00:00,"Here's that, and more from the world of entertainment today.",,today
10,"Chhattisgarh CM Bhupesh Baghel Watches 'The Kashmir Files', Says It Shows One Side Of The Story",2022-03-17T12:45:32+00:00,Chhattisgarh Chief Minister Bhupesh Baghel watched The Kashmir Files and criticised The Kashmir Files for showing 'half-truths'.,Chhattisgarh,
10,"Chhattisgarh CM Bhupesh Baghel Watches 'The Kashmir Files', Says It Shows One Side Of The Story",2022-03-17T12:45:32+00:00,The film released on March 11.,,March 11
11,Police Complaint Registered Against Vivek Agnihotri For His 'Bhopali Means Homosexual' Comment,2022-03-27T07:55:29+00:00,The Kashmir Files filmmakers is being slammed on social media.,,
12,"The Kashmir Files Cleared For Release In UAE With Zero Cuts, Vivek Agnihotri Says 'Big Victory'",2022-03-31T09:45:30+00:00,The Kashmir Files will hit the silver screens in the UAE on April 7.,UAE,April 7
12,"The Kashmir Files Cleared For Release In UAE With Zero Cuts, Vivek Agnihotri Says 'Big Victory'",2022-03-31T09:45:30+00:00,Director Vivek Agnihotri called hit a 'big victory'.,,
13,"'Stop Mocking Kashmiri Pandits', Assam CM Slams Arvind Kejriwal For His Dig At The Kashmir Files",2022-03-27T10:15:31+00:00,Kejriwal's comments have rubbed many the wrong way.,,
14,"'The Name Pushkar Nath In Kashmir Files Is A Tribute To My Dad', Anupam Kher Shares His Acting Journey",2022-03-25T10:55:33+00:00,"Anupam Kher began the note by writing how there was once a Kashmiri Pandit boy called Bittu, son of a clerk, who went on to became an actor 'called Anupam Kher'.",,
15,"Anupam Kher's Niece On Kashmir Files' Climax, Ranveer Mourns MC Tod Fod's Death & More From Ent",2022-03-22T13:55:31+00:00,"Anupam Kher's niece, Vrinda, opened up about how difficult it was to shoot the gruesome climax of The Kashmir Files.",,
15,"Anupam Kher's Niece On Kashmir Files' Climax, Ranveer Mourns MC Tod Fod's Death & More From Ent",2022-03-22T13:55:31+00:00,"On the other hand, Ranveer Singh condoled MC Tod Fod's sudden death.",,
16,The Kashmir Files: उत्तर प्रदेश के सभी सिनेमाहाल और मल्टीप्लेक्स में टैक्स फ्री नहीं होगी फिल्म 'द कश्मीर फाइल्स',2022-03-16T18:17:56+00:00,The Kashmir Files उत्तर प्रदेश में फिल्म को एक समय में अधिकतम 200 प्रिंट वीक की समयसीमा के अधीन एसजीएसटी की प्रतिपूर्ति इस तरह से की जाएगी कि फिल्म की संख्या और सप्ताह की संख्या का गुणांक 200 प्रिंट व स्क्रीन वीक से अधिक नहीं होगा।,,
17,"Indian Army chopper crashes in Bandipora; no update on pilot, co-pilot  ",2022-03-11T09:30:35+00:00,An army helicopter crashed in Tulail area of Gurez located in Jammu and Kashmir’s Bandipora district on Friday afternoon,Jammu,Friday
18,'Bullydawood Is In Shock': Kangana Ranaut Questions Bollywood's Silence On 'The Kashmir Files',2022-03-13T11:15:31+00:00,"Condemning the Hindi film industry's silence on the film, Kangana wrote it's shocking that no Bollywood A-lister is talking about the film, despite the film's rave reviews from the audience and the critics.",Bollywood,
19,"Yami Gautam, Aditya Dhar Extend Support To 'The Kashmir Files', Call It An 'Important Film'",2022-03-14T12:40:37+00:00,'The Kashmir Files' is a movie that is close to home for Actor Yami Gautam and Actor Yami Gautam's husband and Director Aditya Dhar.,,
20,‘The Kashmir Files’ box office Day 10: Film set to reach Rs 200 cr this week,2022-03-21T07:30:34+00:00,The film’s total collections have crossed Rs 167 crore to settle at Rs 167.45 crore.,,
21,"The Kashmir Files Director Vivek Agnihotri To Build A 'Genocide Museum', Madhya Pradesh CM Gives Nod",2022-03-26T09:00:34+00:00,Vivek Agnihotri took to Twitter recently and announced that they will be building a 'genocide museum that will showcase Indian values of Humanity and Vishwa kalyan'.,,
22,"Anupam Kher's Mother Shares Her Two Cents On The Kashmir Files, Recalls How Her Brother Died",2022-03-20T12:35:29+00:00,"'He died heartbrokenly,' she said.",,
23,"The Kashmir Files वाले विवेक अग्निहोत्री को मिली Y कैटिगरी सुरक्षा, मिल रही थीं जान से मारने की धमकी",2022-03-18T08:28:56+00:00,'द कश्मीर फाइल्स' (The Kashmir Files) के डायरेक्टर विवेक अग्निहोत्री (Vivek Agnihotri) को भारत सरकार के गृह मंत्रालय ने वाई कैटिगरी की सुरक्षा (Y Category Security...,,
24,"'With Those Kind Of Numbers, It Can't Be A Bad Film,' Says Taapsee Pannu On The Kashmir Files",2022-03-26T09:30:31+00:00,"Taapsee Pannu, while talking about The Kashmir Files, said that the film can't be a bad one if the film can collect such numbers.",,
25,Madhya Pradesh cops to get leave to watch &#039;The Kashmir Files&#039;,2022-03-14T07:15:37+00:00,"Written and directed by Vivek Agnihotri and produced by Zee Studios, the film depicts the exodus of Kashmiri Hindus from Kashmir following systematic killings of people from the community by Pakistan-backed terrorists.",Pakistan,
26,‘The Kashmir Files’ box office: Vivek Agnihotri-film collects Rs 236.28 cr on Wednesday ,2022-03-31T08:30:36+00:00,"The film made Rs 2.25 crore on Wednesday, Rs 2.75 crore on Tuesday, Rs 3.10 crore on Monday, Rs 8.75 crore on Sunday, Rs 7.60 crore on Saturday and Rs 4.50 crore on Friday.",,Friday
27,"'Bollywood Ke Paap Dho Diye', Kangana Ranaut's Response After Watching 'The Kashmir Files'",2022-03-15T09:50:32+00:00,"In a video shared by photographer Viral Bhayani, Kangana can be seen heaping praises on the film and saying this the film is what Bollywood should be promoting.",,
28,"Aamir Khan Talks About Failed Relationships, 'The Kashmir Files' Wins Hearts And More From Ent!",2022-03-14T13:35:36+00:00,"Owing to the popularity and the significance of a movie like 'The Kashmir Files,' the Madhya Pradesh government today announced that policemen in Madhya Pradesh would be granted leave to watch 'The Kashmir Files.",Madhya Pradesh,today
29,The Kashmir Files Director Vivek Agnihotri Given Y-Category Security Over Controversy,2022-03-18T10:35:28+00:00,"The Kashmir Files director Vivek Agnihotri has been given Y security cover by the central government, news agency ANI reported.",,
29,The Kashmir Files Director Vivek Agnihotri Given Y-Category Security Over Controversy,2022-03-18T10:35:28+00:00,The Kashmir Files director Vivek Agnihotri will be guarded by seven to eight commandos of the CRPF round the clock.,,
30,New Zealand's Ex Deputy PM Supports 'The Kashmir Files' After It Creates Row In The Country,2022-03-20T12:35:29+00:00,This happened after the Muslim community raised concerns over the content of the film.,,
31,"'Emotions On Screen Were Real', Anupam Kher's Niece On Shooting The Kashmir Files' Grim Climax",2022-03-22T06:15:31+00:00,Vrinda Kher revealed that Bhasha Sumbli broke down while shooting for The Kashmir Files climax scene and that the 'emotions that came out were real'.,,
32,"Chhatisgarh CM Criticises The Kashmir Files, Sharmaji Namkeen Trailer Releases And More From Ent",2022-03-17T13:15:33+00:00,Chhatisgarh CM Bhupesh Baghel said that The Kashmir Files shows only one side of the story.,,
32,"Chhatisgarh CM Criticises The Kashmir Files, Sharmaji Namkeen Trailer Releases And More From Ent",2022-03-17T13:15:33+00:00,"On the other hand, Sharmaji Namkeen trailer made fans emotional as fans remembered Rishi Kapoor.",,
32,"Chhatisgarh CM Criticises The Kashmir Files, Sharmaji Namkeen Trailer Releases And More From Ent",2022-03-17T13:15:33+00:00,"Here's all that, and more from the world of entertainment today.",,today
33,Dalit Man Forced To Rub Nose In Temple For Criticising 'The Kashmir Files'; 7 People Arrested,2022-03-24T07:30:32+00:00,Here's what happened.,,
34,"Kangana Slams Bollywood For Snubbing 'The Kashmir Files', Madhuri-Karisma's Pic Goes Viral And More From Ent",2022-03-13T12:50:31+00:00,"Kangana Ranaut, who has always been vocal about box office collections and movie releases, took to Kangana Ranaut, who has always been vocal about box office collections and movie releases's Instagram account to slam Bollywood for Bollywood's prolonged silence.",,
35,Security Forces Claim They Have Shot Down A 'Journalist-Turned-Terrorist' In Srinagar Encounter,2022-03-30T07:45:32+00:00,"Security forces neutralised two terrorists during an encounter in the Rainawari area of Srinagar on early Wednesday morning.According to the Jammu & Kashmir Police, one of two terrorists, identified as Rayees Ahmad Bhat, was a former journalist who ran an online news portal ‘Valley News Service’ in Anantnag.",Anantnag,
36,"The Kashmir Files movie declared tax-free in Gujarat, Madhya Pradesh",2022-03-13T12:20:34+00:00,"Haryana was the first state to give tax exemption to the movie, with the state government asking cinema theatres and multiplexes to not charge state GST.",Haryana,
37,This Is Not Paris Or Tokyo: It's India's Kashmir Valley During The Magical Spring Season,2022-03-17T11:50:32+00:00,"After the severe cold and record snowfall, the spring season has knocked Kashmir.",,the spring season
37,This Is Not Paris Or Tokyo: It's India's Kashmir Valley During The Magical Spring Season,2022-03-17T11:50:32+00:00,"As spring arrives in Kashmir valley, take a look at some breathtaking pictures seen with the blossom of almond flowers.",,
38,Climbing Towers And Trekking Mountains: A Day In The Life Of Power Lineman In Kashmir,2022-03-27T08:20:39+00:00,"Whenever snowfall or a natural calamity hits Kashmir, the first casualty is the power supply, but there are unseen hands behind who ensure that the power supply gets restored at the earliest and unseen hands behind who ensure that it gets restored at the earliest are Power Development Department (PDD) daily wager linemen who work hard on the ground and forget their comfort for others.",,daily
39,"After 'The Kashmir Files' Release, Delhi Police Steps Up Security In Mixed Population Areas",2022-03-17T11:20:31+00:00,The Delhi Police has asked the DCPs of all districts to make adequate security arrangements in mixed population areas of the city in view of the newly-released Bollywood film “The Kashmir Files” to prevent any law and order situation.,Bollywood,
40,"The Kashmir Files movie download links being shared on WhatsApp may be fraud, warns police",2022-03-17T07:51:05+00:00,"The fraudulent link received on WhatsApp convinces users to click The fraudulent link received on WhatsApp if users want to download The Kashmir Files movie in high quality for free, said the police.",,
41,"Anupam Kher Reacts To Bollywood's Silence On Kashmir Files' Success, Says Salman Khan Called Him",2022-03-27T11:40:31+00:00,He said that Salman Khan called He to congratulate He personally.,,
42,"'Kahaniya Toh Bohot Boli Gayi, Humein Sach Batana Tha', Says The Kashmir Files Writer Saurabh M Pandey",2022-03-18T09:10:30+00:00,"In conversation with TOI, The Kashmir Files' writer Saurabh M Pandey talked about The Kashmir Files' writer Saurabh M Pandey's experience of writing the script and how The Kashmir Files' writer Saurabh M Pandey's 'mind went numb while interviewing victims of the genocide'.",,
43,#BoycottKapilSharmaShow Trends After Vivek Agnihotri Claims Kapil Refused To Invite Him On Show,2022-03-08T09:50:29+00:00,"Taking a dig at Kapil Sharma, Vivek Agnihotri bashed The Kapil Sharma Show for refusing to promote The Kashmir Files on The Kapil Sharma Show.",,
44,Karnataka becomes 4th state to make Anupam Kher’s ‘The Kashmir Files’ tax free ,2022-03-14T05:15:33+00:00,"Prior to Karnataka, the film has been made tax-free in Gujarat, Haryana and Madhya Pradesh.",Madhya Pradesh,
45,"Meet The 'Pizza Man' Of Kashmir, Who Started With An Idea Of Just Putting Chicken On Roti",2022-03-12T10:25:29+00:00,"If you have a dream and passion to do something extraordinary then no one can deter you, believe me.",,
45,"Meet The 'Pizza Man' Of Kashmir, Who Started With An Idea Of Just Putting Chicken On Roti",2022-03-12T10:25:29+00:00,"This is the story of 40-year-old Kashmiri entrepreneur Tariq Ahmad Bhat, the owner of Amgio’s- the valley’s popular and first local brand of pizza.",,40-year - old
46,'Jhund' Producer Questions Criteria For Making 'The Kashmir Files' Tax Free But Not Her Film,2022-03-20T12:35:29+00:00,She questions why She's film was not made tax-free and what is the criteria for making The Kashmir Files tax free in several states of India.,India,
47,Madhya Pradesh Government Issues Notice To IAS Officer Over Tweets On 'The Kashmir Files',2022-03-23T13:05:33+00:00,"He is violating the limits that are set for government officials, He said.",,
48,"IAS Officer Asks The Kashmir Files Makers To Donate Profits To Brahmin Kids, Sparks Controversy",2022-03-21T11:40:33+00:00,"He also urged the makers to make another film on ""killings of a large number of Muslims across several states.""",,
49,"'You Are Muslim, You'll Support Terrorism,' Adil Hussain Trolled Over 'The Kashmir Files' Tweet",2022-03-20T08:20:33+00:00,He said that the film could have been tender.,,
50,"'My Family Escaped Hidden In The Back Of A Truck', Sandeepa Dhar After Watching The Kashmir Files",2022-03-18T04:50:31+00:00,"After watching The Kashmir Files, Sandeepa Dhar, in a long Instagram note, opened up about how Sandeepa Dhar's family had to escape her family's homeland while being 'hidden in the back of a truck'.",,
51,"Aamir Khan Praises 'The Kashmir Files', Says Every Indian Must Watch This Vivek Agnihotri Film",2022-03-21T08:20:30+00:00,The Bollywood star said that every Indian must watch the movie and recall how a person feels when a person goes through such trauma.,,
52,"'Makers Had The Guts To Portray The Truth', The Kashmir Files Gets A Big Nod From PM Modi",2022-03-15T12:25:35+00:00,"PM Narendra Modi, while speaking at the BJP's parliamentary party meeting, said that the makers of The Kashmir Files 'had the guts to portray the truth'.",,
53,"Shilpa Shetty Performs Holika Dahan, The Kashmir Files Writer Talks About The Film And More From Ent",2022-03-18T09:10:30+00:00,Shilpa Shetty performed Holika Dahan and wished Shilpa Shetty's fans on the special occasion.,,
53,"Shilpa Shetty Performs Holika Dahan, The Kashmir Files Writer Talks About The Film And More From Ent",2022-03-18T09:10:30+00:00,"On the other hand, The Kashmir Files writer opened up about writing the script of the film.",,
54,"The Kashmir Files ने पहले हफ्ते में Box Office पर रचा इतिहास, वीकेंड पर बना सकती है नया रिकॉर्ड",2022-03-18T07:21:52+00:00,The Kashmir Files First Week Box Office Collection: विवेक अग्‍न‍िहोत्री की फिल्‍म 'द कश्‍मीर फाइल्‍स' ने पहले हफ्ते में ऐतिहासिक 95.50...,,
55,"Anupam Kher Slams Kapil Sharma, Ranbir Kapoor On Rishi Kapoor's Last Film And More From Ent",2022-03-16T14:25:35+00:00,Anupam Kher took to Twitter and slammed Kapil Sharma for posting a 'half truth' around the controversy regarding The Kashmir Files.,,
55,"Anupam Kher Slams Kapil Sharma, Ranbir Kapoor On Rishi Kapoor's Last Film And More From Ent",2022-03-16T14:25:35+00:00,"On the other hand, Ranbir Kapoor, in an emotional video message, thanked Paresh Rawal for helping them complete Rishi Kapoor's swan-song, Sharmaji Namkeen.",,
56,Siddaramaiah Claims Theatres Are Being Forced To Screen The Kashmir Files Instead Of James,2022-03-23T09:20:29+00:00,"Speaking to the media, Siddaramaiah said that BJP leaders are forcing movie theatres to screen The Kashmir Files instead of James.",,
56,Siddaramaiah Claims Theatres Are Being Forced To Screen The Kashmir Files Instead Of James,2022-03-23T09:20:29+00:00,Siddaramaiah alleged that the producer of James had come up to Siddaramaiah and told Siddaramaiah about the issue,,
57,"'Was Laughing At BJP, Not Kashmiri Pandits', Arvind Kejriwal On His 'The Kashmir Files' Speech",2022-03-28T13:20:31+00:00,Delhi CM Arvind Kejriwal has reacted to criticism.,Delhi,
58,The Kashmir Files Controversies: Why Screenings Are Getting Halted & People Are Being Assaulted,2022-03-12T11:55:28+00:00,Here's what's happening.,,
59,MP Cops To Get Leave To Watch 'The Kashmir Files'; Home Minister Instructs DGP,2022-03-14T11:10:35+00:00,Madhya Pradesh government today announced that policemen in Madhya Pradesh would be granted leave to watch the recently-released film.,Madhya Pradesh,today
60,'The Kashmir Files' Salaries: Here's How Much Money These Actors Reportedly Earned For The Film,2022-03-23T10:15:29+00:00,Vivek Agnihotri charged Rs 1 crore to direct the movie.,,
61,Twitter User Explains How IMDb Ratings Can Be Manipulated After 'The Kashmir Files' Controversy,2022-03-20T10:40:28+00:00,"In a thread, he explains how The Kashmir Files managed to get a ten-on-ten score.",,
62,"The Kashmir Files Gets A Big Nod From PM Modi, Neena Gupta Slams Trolls And More From Ent",2022-03-15T13:05:36+00:00,The Kashmir Files got a big thumbs up from PM Narendra Modi as PM Narendra Modi lauded the makers for 'having the guts to show the truth'.,,
62,"The Kashmir Files Gets A Big Nod From PM Modi, Neena Gupta Slams Trolls And More From Ent",2022-03-15T13:05:36+00:00,"On the other hand, Neena Gupta shared a video slamming trolls who judge people on the basis of what people wear.",,
63,"'Wish You Had Posted The Full Video', Says Anupam Kher After Kapil Sharma's Tweet On The Kashmir Files",2022-03-16T09:15:29+00:00,Kapil thanked Anupam Kher for clarifying 'the false allegations against Kapil' in a tweet.,,
63,"'Wish You Had Posted The Full Video', Says Anupam Kher After Kapil Sharma's Tweet On The Kashmir Files",2022-03-16T09:15:29+00:00,Anupam Kher gave a cryptic reply and told Kapil that Kapil should have shared the whole video and not the half truth.,,
64,Spring Theatre Festival: Hope For Revival Of Theatres In Kashmir,2022-04-01T12:55:33+00:00,"On the occasion of World Theatre Day, Actors’ Creative Theatre (ACT) in collaboration with J&K Academy of Art, Culture and Languages (JKAACL) inaugurated the second edition of ‘Spring Theatre Festival’ at Tagore Hall, Srinagar.",Srinagar,
64,Spring Theatre Festival: Hope For Revival Of Theatres In Kashmir,2022-04-01T12:55:33+00:00,the second edition of ‘Spring Theatre Festival’ will conclude on 2nd April.,,2nd April
