article_id,event,location_prediction,date_prediction
0,"Amidst the critical and box-office success of 'The Kashmir Files', Vivek Agnihotri has repeatedly expressed how Bollywood has snubbed Vivek Agnihotri.",,2022-03-14
1,"Savban Zahoor Khan, the owner of Muzzaffar Jewellers in Hari Singh High Street (HSHS) area of Srinagar, a popular and oldest market of jewellery shops, is sitting idle as no customer has visited Muzzaffar Jewellers in Hari Singh High Street (HSHS) area of Srinagar, a popular and oldest market of jewellery shops for the last many days.",['Hari Singh High Street'],2022-03-14
2,Vivek Agnihotri-directorial 'The Kashmir Files' is maintaining its stride at the box office amid the 'RRR' craze.,['Kashmir'],2022-03-29
3,"Fans have posted old newspaper clippings, news features, and videos.",,2022-03-15
3,Fans also tried to draw a parallel between the reel and real-life characters.,,2022-03-15
4,The mob was chanting 'Jai Shree Ram' slogans.,,2022-03-21
5,Here is all that rocked the world of entertainment news.,,2022-03-21
6,The city of Kota in Rajasthan has now imposed section 144 to 'maintain law and order in The city of Kota in Rajasthan during The Kashmir Files screening'.,"['Rajasthan', 'Rajasthan', 'Kashmir']",2022-03-22
7,"The Vivek Agnihotri-directorial raked in a total of Rs 234.03 crore as on Tuesday, as per film critic and trade analyst Taran Adarsh.",,2022-03-30
8,"At the start of the hearing, the judges asked the petitioner’s lawyer whether the petitioner’s lawyer bothered to read the court’s judgement against the PILs filed against the Alia Bhatt-starrer Gangubai Kathiawadi",,2022-03-09
9,The screening of Anupam Kher's The Kashmir Files was halted as a lot of chaos was witnessed at a theatre in Jammu.,['Kashmir Files'],2022-03-12
9,"On the other hand, Deepika Padukone's Instagram caption enraged Twitter.",['Kashmir Files'],2022-03-12
9,"Here's that, and more from the world of entertainment today.",['Kashmir Files'],2022-03-12
10,Chhattisgarh Chief Minister Bhupesh Baghel watched The Kashmir Files and criticised The Kashmir Files for showing 'half-truths'.,"['Chhattisgarh', 'Kashmir', 'Kashmir']",2022-03-17
10,The film released on March 11.,"['Chhattisgarh', 'Kashmir', 'Kashmir']",2022-03-11
11,The Kashmir Files filmmakers is being slammed on social media.,['Kashmir'],2022-03-27
12,The Kashmir Files will hit the silver screens in the UAE on April 7.,['Kashmir Files'],2022-04-07
12,Director Vivek Agnihotri called hit a 'big victory'.,['Kashmir Files'],2022-04-07
13,Kejriwal's comments have rubbed many the wrong way.,,2022-03-27
14,"Anupam Kher began the note by writing how there was once a Kashmiri Pandit boy called Bittu, son of a clerk, who went on to became an actor 'called Anupam Kher'.",,2022-03-25
15,"Anupam Kher's niece, Vrinda, opened up about how difficult it was to shoot the gruesome climax of The Kashmir Files.",['Kashmir'],2022-03-22
15,"On the other hand, Ranveer Singh condoled MC Tod Fod's sudden death.",['Kashmir'],2022-03-22
16,The Kashmir Files उत्तर प्रदेश में फिल्म को एक समय में अधिकतम 200 प्रिंट वीक की समयसीमा के अधीन एसजीएसटी की प्रतिपूर्ति इस तरह से की जाएगी कि फिल्म की संख्या और सप्ताह की संख्या का गुणांक 200 प्रिंट व स्क्रीन वीक से अधिक नहीं होगा।,['Kashmir'],2022-03-16
17,An army helicopter crashed in Tulail area of Gurez located in Jammu and Kashmir’s Bandipora district on Friday afternoon,"['Tulail', 'Gurez', 'Kashmir', 'Bandipora']",2022-03-11
18,"Condemning the Hindi film industry's silence on the film, Kangana wrote it's shocking that no Bollywood A-lister is talking about the film, despite the film's rave reviews from the audience and the critics.",,2022-03-13
19,'The Kashmir Files' is a movie that is close to home for Actor Yami Gautam and Actor Yami Gautam's husband and Director Aditya Dhar.,['Kashmir'],2022-03-14
20,The film’s total collections have crossed Rs 167 crore to settle at Rs 167.45 crore.,,2022-03-21
21,Vivek Agnihotri took to Twitter recently and announced that they will be building a 'genocide museum that will showcase Indian values of Humanity and Vishwa kalyan'.,,2022-03-26
22,"'He died heartbrokenly,' she said.",,2022-03-20
23,'द कश्मीर फाइल्स' (The Kashmir Files) के डायरेक्टर विवेक अग्निहोत्री (Vivek Agnihotri) को भारत सरकार के गृह मंत्रालय ने वाई कैटिगरी की सुरक्षा (Y Category Security...,['Kashmir Files'],2022-03-18
24,"Taapsee Pannu, while talking about The Kashmir Files, said that the film can't be a bad one if the film can collect such numbers.",['Kashmir'],2022-03-26
25,"Written and directed by Vivek Agnihotri and produced by Zee Studios, the film depicts the exodus of Kashmiri Hindus from Kashmir following systematic killings of people from the community by Pakistan-backed terrorists.",['Kashmir'],2022-03-14
26,"The film made Rs 2.25 crore on Wednesday, Rs 2.75 crore on Tuesday, Rs 3.10 crore on Monday, Rs 8.75 crore on Sunday, Rs 7.60 crore on Saturday and Rs 4.50 crore on Friday.",,2022-03-31
27,"In a video shared by photographer Viral Bhayani, Kangana can be seen heaping praises on the film and saying this the film is what Bollywood should be promoting.",['Kangana'],2022-03-15
28,"Owing to the popularity and the significance of a movie like 'The Kashmir Files,' the Madhya Pradesh government today announced that policemen in Madhya Pradesh would be granted leave to watch 'The Kashmir Files.","['Madhya Pradesh', 'Kashmir Files']",2022-03-14
29,"The Kashmir Files director Vivek Agnihotri has been given Y security cover by the central government, news agency ANI reported.",,2022-03-18
29,The Kashmir Files director Vivek Agnihotri will be guarded by seven to eight commandos of the CRPF round the clock.,,2022-03-18
30,This happened after the Muslim community raised concerns over the content of the film.,,2022-03-20
31,Vrinda Kher revealed that Bhasha Sumbli broke down while shooting for The Kashmir Files climax scene and that the 'emotions that came out were real'.,['Kashmir'],2022-03-22
32,Chhatisgarh CM Bhupesh Baghel said that The Kashmir Files shows only one side of the story.,,2022-03-17
32,"On the other hand, Sharmaji Namkeen trailer made fans emotional as fans remembered Rishi Kapoor.",,2022-03-17
32,"Here's all that, and more from the world of entertainment today.",,2022-03-17
33,Here's what happened.,,2022-03-24
34,"Kangana Ranaut, who has always been vocal about box office collections and movie releases, took to Kangana Ranaut, who has always been vocal about box office collections and movie releases's Instagram account to slam Bollywood for Bollywood's prolonged silence.",,2022-03-13
35,"Security forces neutralised two terrorists during an encounter in the Rainawari area of Srinagar on early Wednesday morning.According to the Jammu & Kashmir Police, one of two terrorists, identified as Rayees Ahmad Bhat, was a former journalist who ran an online news portal ‘Valley News Service’ in Anantnag.",['Rainawari'],2022-03-30
36,"Haryana was the first state to give tax exemption to the movie, with the state government asking cinema theatres and multiplexes to not charge state GST.",['Haryana'],2022-03-13
37,"After the severe cold and record snowfall, the spring season has knocked Kashmir.",['Kashmir'],2022-03-17
37,"As spring arrives in Kashmir valley, take a look at some breathtaking pictures seen with the blossom of almond flowers.",['Kashmir'],2022-03-17
38,"Whenever snowfall or a natural calamity hits Kashmir, the first casualty is the power supply, but there are unseen hands behind who ensure that the power supply gets restored at the earliest and unseen hands behind who ensure that it gets restored at the earliest are Power Development Department (PDD) daily wager linemen who work hard on the ground and forget their comfort for others.",['Kashmir'],2022-03-27
39,The Delhi Police has asked the DCPs of all districts to make adequate security arrangements in mixed population areas of the city in view of the newly-released Bollywood film “The Kashmir Files” to prevent any law and order situation.,['Kashmir'],2022-03-17
40,"The fraudulent link received on WhatsApp convinces users to click The fraudulent link received on WhatsApp if users want to download The Kashmir Files movie in high quality for free, said the police.",['Kashmir'],2022-03-17
41,He said that Salman Khan called He to congratulate He personally.,,2022-03-27
42,"In conversation with TOI, The Kashmir Files' writer Saurabh M Pandey talked about The Kashmir Files' writer Saurabh M Pandey's experience of writing the script and how The Kashmir Files' writer Saurabh M Pandey's 'mind went numb while interviewing victims of the genocide'.","['Kashmir', 'Kashmir']",2022-03-18
43,"Taking a dig at Kapil Sharma, Vivek Agnihotri bashed The Kapil Sharma Show for refusing to promote The Kashmir Files on The Kapil Sharma Show.",['Kashmir'],2022-03-08
44,"Prior to Karnataka, the film has been made tax-free in Gujarat, Haryana and Madhya Pradesh.","['Karnataka', 'Gujarat', 'Haryana', 'Madhya Pradesh']",2022-03-14
45,"If you have a dream and passion to do something extraordinary then no one can deter you, believe me.",,2022-03-12
45,"This is the story of 40-year-old Kashmiri entrepreneur Tariq Ahmad Bhat, the owner of Amgio’s- the valley’s popular and first local brand of pizza.",,2022-03-12
46,She questions why She's film was not made tax-free and what is the criteria for making The Kashmir Files tax free in several states of India.,['Kashmir Files'],2022-03-20
47,"He is violating the limits that are set for government officials, He said.",,2022-03-23
48,"He also urged the makers to make another film on ""killings of a large number of Muslims across several states.""",,2022-03-21
49,He said that the film could have been tender.,,2022-03-20
50,"After watching The Kashmir Files, Sandeepa Dhar, in a long Instagram note, opened up about how Sandeepa Dhar's family had to escape her family's homeland while being 'hidden in the back of a truck'.","['Kashmir Files', 'Sandeepa', 'Sandeepa']",2022-03-18
51,The Bollywood star said that every Indian must watch the movie and recall how a person feels when a person goes through such trauma.,,2022-03-21
52,"PM Narendra Modi, while speaking at the BJP's parliamentary party meeting, said that the makers of The Kashmir Files 'had the guts to portray the truth'.",['Kashmir'],2022-03-15
53,Shilpa Shetty performed Holika Dahan and wished Shilpa Shetty's fans on the special occasion.,,2022-03-18
53,"On the other hand, The Kashmir Files writer opened up about writing the script of the film.",['Kashmir Files'],2022-03-18
54,The Kashmir Files First Week Box Office Collection: विवेक अग्‍न‍िहोत्री की फिल्‍म 'द कश्‍मीर फाइल्‍स' ने पहले हफ्ते में ऐतिहासिक 95.50...,['Kashmir'],2022-03-18
55,Anupam Kher took to Twitter and slammed Kapil Sharma for posting a 'half truth' around the controversy regarding The Kashmir Files.,['Kashmir Files'],2022-03-16
55,"On the other hand, Ranbir Kapoor, in an emotional video message, thanked Paresh Rawal for helping them complete Rishi Kapoor's swan-song, Sharmaji Namkeen.",['Kashmir Files'],2022-03-16
56,"Speaking to the media, Siddaramaiah said that BJP leaders are forcing movie theatres to screen The Kashmir Files instead of James.",['Kashmir'],2022-03-23
56,Siddaramaiah alleged that the producer of James had come up to Siddaramaiah and told Siddaramaiah about the issue,['Siddaramaiah'],2022-03-23
57,Delhi CM Arvind Kejriwal has reacted to criticism.,,2022-03-28
58,Here's what's happening.,,2022-03-12
59,Madhya Pradesh government today announced that policemen in Madhya Pradesh would be granted leave to watch the recently-released film.,['Madhya Pradesh'],2022-03-14
60,Vivek Agnihotri charged Rs 1 crore to direct the movie.,,2022-03-23
61,"In a thread, he explains how The Kashmir Files managed to get a ten-on-ten score.",['Kashmir Files'],2022-03-20
62,The Kashmir Files got a big thumbs up from PM Narendra Modi as PM Narendra Modi lauded the makers for 'having the guts to show the truth'.,,2022-03-15
62,"On the other hand, Neena Gupta shared a video slamming trolls who judge people on the basis of what people wear.",,2022-03-15
63,Kapil thanked Anupam Kher for clarifying 'the false allegations against Kapil' in a tweet.,,2022-03-16
63,Anupam Kher gave a cryptic reply and told Kapil that Kapil should have shared the whole video and not the half truth.,,2022-03-16
64,"On the occasion of World Theatre Day, Actors’ Creative Theatre (ACT) in collaboration with J&K Academy of Art, Culture and Languages (JKAACL) inaugurated the second edition of ‘Spring Theatre Festival’ at Tagore Hall, Srinagar.",['Tagore Hall'],2022-04-01
64,the second edition of ‘Spring Theatre Festival’ will conclude on 2nd April.,['Tagore Hall'],2022-04-02
65,"The centre which is home to at least 150 animals and assisted by scores of volunteers, has been raising awareness of animal rights since The centre which is home to at least 150 animals and assisted by scores of volunteers opened.",,2022-04-20
66,The 45-year-old Bashir Ahmad Dar is busy weaving Kashmiri silk carpet on a wooden loom in Sonawari village in north Kashmir’s Bandipora district with a hope that government provided Geographical Indication (GI) tag will help them to boost them's business and fight counter branding.,"['Sonawari', 'Kashmir', 'Bandipora']",2022-04-28
67,Here is all that rocked the world of entertainment today.,,2022-04-03
68,"Faesal resigned as a civil servant in January 2019 to ""protest against the unabated killings in Kashmir"" following the revocation of Article 370.",['Kashmir'],2019-01-01
69,"Bringing the much needed relief in the lives of Kashmiri Muslims that too in the holy month of Ramadan, a Srinagar based software engineer has developed valley’s first online and offline the holy month of Ramadan app.",,2022-04-18
70,"Coffee in hand, I sit in the balcony trying to analyse the cognitive dissonance that led to the moment when Will Smith, in the pursuit of Will Smith's wife’s happiness, clambered onto the stage and slapped Chris Rock for joking about Jada’s appearance.",,2022-04-03
71,The Kashmir Files director Vivek Agnihotri came out in support of Satish Tickoo's family and hoped that Satish Tickoo's family get justice in the case against terrorist Bitta Karate.,,2022-04-01
72,Here is how fans reacted to this.,,2022-04-17
73,"In the picture, Lt Gen DP Pandey, Corps Commander 15 Corps, can be seen praying along with a Sikh officer, other senior officers and troops during the holy month of Ramzan.",,2022-04-26
74,Twinkle Khanna aka Mrs Funny Bones took a jibe at The Kashmir Files in Twinkle Khanna aka Mrs Funny Bones's recent writeup.,"['Kashmir Files', 'Twinkle Khanna']",2022-04-07
74,Twitter users are calling Twinkle Khanna aka Mrs Funny Bones insensitive.,"['Kashmir Files', 'Twinkle Khanna']",2022-04-07
75,They would work on two more films based on unreported stories from Indian history.,,2022-04-11
76,"Earlier, the UGC had issued an advisory in 2019 against studying in institutes in Pakistan-occupied Kashmir.",['Kashmir'],2019-01-01
77,"Union Minister for Road, Transport and Highways Nitin Gadkari said that the government was taking up many important infrastructure projects in Jammu and Kashmir that will improve connectivity in Jammu and Kashmir.","['Kashmir', 'Kashmir']",2022-04-06
78,Here's what he said.,,2022-04-03
79,"Apart from giving a tour of the Holocaust museum in DC, he also explained that India also needs one since several unheard and untold stories need a platform to be conveyed across the globe.",,2022-04-26
80,"A little girl's detailed review about Kashmir, A little girl's's confidence and innocence is winning several hearts on the internet..",['Kashmir'],2022-04-17
81,"Although a potential blockbuster, the film did not have a successful run at the box office as the film's business was massively hindered by the unexpected success of The Kashmir Files.",['Kashmir Files'],2022-04-13
82,"The Foreign Office here termed Prime Minister Modi's visit to the Valley as ""yet another ploy to project fake normalcy"" in the Valley.",,2022-04-25
83,The film is shattering box office record one after the other.,,2022-04-12
84,The circular had turned into a major controversy in Jammu and Kashmir.,['Kashmir'],2022-04-28
85,"In Kashmir, street food culture has got a boost after the opening of ‘Chew N Brew - Eat On The Go’- a mobile food van in Srinagar city.",['Kashmir'],2022-04-10
85,‘Chew N Brew - Eat On The Go’- a mobile food van is first of ‘Chew N Brew - Eat On The Go’- a mobile food van's kind in the valley.,['Kashmir'],2022-04-10
86,He appeared before the ED in the ED's Srinagar office in connection with Jammu and Kashmir Cricket Association scam,,2022-05-31
87,"A total of 10 terrorists, from JeM and LeT were killed in three days in Kashmir valley, says IGP",['Kashmir'],2022-05-27
88,"The Kashmir Files, which premiered at the box office with a record-breaking run, is now set to premiere on ZEE5 on 13th May in Hindi, Tamil, Telugu, Kannada, and Indian Sign Language.",['Kannada'],2022-05-13
88,"To commemorate premiere, ZEE5 hosted a special screening of The Kashmir Files, which premiered at the box office with a record-breaking run in Indian Sign Language, which drew 500 people with hearing impairment.",['Kannada'],2022-05-13
88,"Director Vivek Agnihotri, Director Vivek Agnihotri's wife, actor Pallavi Joshi, and actor Darshan Kumaar attended a special screening of 'The Kashmir Files' in Indian Sign Language, which drew 500 people with hearing impairment.",['Kannada'],2022-05-13
89,Pahari people of Kashmir have almost forgotten Pahari people of Kashmir's language and in fact many even don’t know how to speak.,"['Kashmir', 'Kashmir']",2022-05-15
89,Pahari people across the valley have shifted to cities for jobs and studies that is being considered one of the primary reasons for the dying of their language.,"['Kashmir', 'Kashmir']",2022-05-15
89,Experts believe that their language needs to be taught in schools and Paharis shall avail all the reservation benefits too.,"['Kashmir', 'Kashmir']",2022-05-15
90,43 seats for Jammu division and 47 for Kashmir division demarcated; nine seats reserved for STs for the first time,['Kashmir'],2022-05-05
91,"Yasin Malik, a Hurriyat leader and chief of the banned Jammu and Kashmir Liberation Front, was convicted on May 19 by Delhi High Court, in a terror funding case dating back to 2017",,2017-01-01
92,The incident happened at Zojila Pass off the Srinagar-Leh National Highway,"['Zojila Pass', 'Srinagar - Leh National Highway']",2022-05-26
93,"In a first, the remote Uri area of J&K witnessed a three day cultural festival near Line of Control (LoC), bringing the hope for peace and tourism on the borders.",,2022-05-28
94,"Haider has been active in north Kashmir for more than two years and is involved in several terror crimes, the IGP Kashmir said",['Kashmir'],2022-05-08
95,The debate began after the former union minister posted that the ‘Kashmir Files’ film had been banned in Singapore for being “provocative” and “one-sided.”,,2022-05-10
96,"Foreign Minister Bilawal, who is on a maiden visit to the US, made the remarks while responding to questions during a press conference here on Thursday.",,2022-05-20
97,"The aim behind the campaign was to debunk myths, accusations and impact of The Kashmir Files.",['Kashmir Files'],2022-05-06
98,"‘Waterman of India’ Dr Rajendra Singh who was on a few days of visit to remote area Uri in Kashmir spoke to Indiatimes in an exclusive chat about a few days of visit to remote area Uri in Kashmir, need to conserve water, climatic change and much more.","['Kashmir', 'Indiatimes', 'Kashmir']",2022-05-23
99,A search party of police picked up the movement of a drone from the border in Talli Hariya Chak area,['Talli Hariya'],2022-05-29
100,"In yet another targeted killing of minorities in the Kashmir, a Hindu school teacher was fired at by terrorists in the Kulgam district of the Kashmir.a Hindu school teacher, sustained injuries when terrorists fired at a Hindu school teacher in the Gopalpora area of the Kulgam district of the Kashmir region where a Hindu school teacher was posted as a teacher.","['Kashmir', 'Gopalpora', 'Kashmir region']",2022-05-31
101,Kashmiri TV actress Amreen Bhat was killed by the terrorists in Budgam's Chadoora on Wednesday.,"['Budgam', 'Chadoora']",2022-05-27
102,"With the entire India currently undergoing the worst electricity shortage including Kashmir, the demand for the restoration of a 100-year-old defunct power project in the valley has gone shriller.",['Kashmir'],2022-05-01
103,"After three years of slump, Kashmir is witnessing the massive influx of tourists this summer bringing joy on the faces of stakeholders.",['Kashmir'],2022-05-31
104,Congress president Sonia Gandhi said Congress will launch a ‘Bharat Jodo Yatra’ from Kanyakumari to Kashmir on October 2,"['Kanyakumari', 'Kashmir']",2022-10-02
105,"The Jammu and Kashmir administration restructured the agriculture production department with the aim of doubling income of farmers, orchardists and people dependent on animal, sheep husbandry and fisheries for farmers, orchardists and people dependent on animal, sheep husbandry and fisheries for their livelihood's livelihood.",['Kashmir'],2022-05-08
106,Three persons have been rescued from the accident so far,,2022-05-21
107,"The film directed by Shiva Nirvana, being filmed in Kashmir, will release in Telugu, Tamil, Malayalam and Kannada","['Kashmir', 'Malayalam', 'Kannada']",2022-05-16
108,The beautiful valley of Kashmir frequently witnesses violence and it is well known that the inhabitants struggle for survival on daily basis.,['Kashmir'],2022-05-25
108,The media representation of Kashmiri youths is sometimes seemed unfair and is often depicted with a stereotypical narrative.,['Kashmir'],2022-05-25
109,The high-level meeting also took stock of the preparedness for the upcoming Amarnath Yatra,,2022-05-17
110,"The movie, a collaboration between a Kashmiri Muslim and a Pandit, tells the tale of a warm and common past shared by the communities and also the communities's sufferings.",,2022-05-13
111,"When Wikipedia referred to The Kashmir Files as a 'fictional’ story', Vivek Agnihotri lost Vivek Agnihotri's cool and called it out on Twitter.",['Kashmir'],2022-05-04
112,"Under the film classification guidelines, “any material that is denigrating to racial or religious communities in Singapore” will be refused classification, the authorities added.",,2022-05-09
113,"According to the orders of the commission, set up under the Jammu and Kashmir Reorganisation Act of 2019, the Union territory will have 90 assembly constituencies.",['Kashmir'],2019-01-01
114,India's strong response came after Pakistan once again raked up the issue of Kashmir at the UN Security Council.,['Kashmir'],2022-06-03
115,"One slain militant was involved in the killing of Rajni Balla, a teacher from Samba",,2022-06-17
116,One unidentified militant killed in Kulgam’s Mishipora; IED weighing 15 kg recovered in Pulwama,,2022-06-16
117,Rahul Gandhi urges PM to take immediate steps to restore peace,,2022-06-02
118,Here's how the director Vivek Agnihotri has responded.,,2022-06-09
119,"Unlike any palatial hotel stay, for any guests desiring calm and cosy stay in a natural setting, Kashmir’s Sagg’s mud made spacious cottages make you feel very different.",['Kashmir'],2022-06-12
119,"Set up in the mountains of central Kashmir’s Ganderbal district and on the foothills of River Sindh, Kashmir’s Sagg’s is the valley’s first and only ecologically sustainable village.","['Kashmir', 'Ganderbal', 'Sindh', 'Kashmir']",2022-06-12
120,"When asked about her political views, her stated that her grew up in a neutral family and was raised to be a 'good human being.'",,2022-06-16
121,"A Sikh body in Jammu and Kashmir on Tuesday announced A Sikh body in Jammu and Kashmir will donate Rs 10 lakh for the repair of a gurdwara damaged in a terror attack in Kabul over the weekend, News 18 reported.","['Kashmir', 'Kashmir']",2022-06-21
121,"United Kashmiri Sikhs Progressive Forum (UKSPF) Chairman Baldev Singh Raina said, “A Sikh body in Jammu and Kashmir will give Rs 10 lakh for the repair of a gurdwara damaged in a terror attack in Kabul over the weekend a gurdwara damaged in a terror attack in Kabul over the weekend and A Sikh body in Jammu and Kashmir will raise more funds.","['Kashmir', 'Kashmir']",2022-06-21
121,In these difficult times A Sikh body in Jammu and Kashmir want to assure that every Sikh of India is with Afghan Sikhs and Sikh Community will rebuild the whole Afghanistan and always support the government”.,['Kashmir'],2022-06-21
122,The suspect is wanted in connection with the targeted killing of Hindus in the Union Territory of Jammu and Kashmir.,['Kashmir'],2022-06-07
122,The suspect was living in Bengaluru with The suspect's family and working as a labourer.,['Bengaluru'],2022-06-07
122,The suspect had an Aadhaar card when The suspect was arrested,['Bengaluru'],2022-06-07
123,Security forces have stepped up anti-militancy operations ahead of Amarnath yatra,,2022-06-19
124,"Terrorism on its last leg in Kashmir Valley, says Manoj Sinha",['Kashmir'],2022-06-11
125," BJP leaders are busy promoting films instead of heeding to the plight of Kashmiri Pandits, says Sanjay Raut.",,2022-06-05
127,"The attack came hours after Vijay Kumar, a bank manager from Rajasthan, was shot dead in Kulgam.",['Rajasthan'],2022-06-03
128,It should cancel bonds signed by Kashmiri Pandits under PM Relief Plan: Kejriwal,,2022-06-05
129,‘Back-to-back killings have shattered our faith in the security system’,,2022-06-04
130,Kashmir has a deep-rooted connection with Sufism and Kashmir is called the ‘Land of Saints’.,"['Kashmir', 'Kashmir']",2022-06-18
130,"To highlight and propagate the teachings of Sufis and Rishis in Kashmir, a three-day Sufi festival was organised in the valley which is being seen as the first of a three-day Sufi festival's kind, beginning from 10th June.","['Rishis', 'Kashmir']",2022-06-10
131,More than 100 Hindu families have fled Kashmir as panic spread after the killing of a Hindu school teacher in India's only Muslim-majority region.,"['Kashmir', 'Muslim - majority']",2022-06-02
132,She took to She's Instagram handle to issue a clarification,,2022-06-19
133,A spate of targeted killings of Hindus in Kashmir threatens to reverse years of efforts to rehabilitate Kashmiri Pandits to the Valley.,['Kashmir'],2022-06-11
133,"Peerzada Ashiq reports on the fear in the community, which is once again faced with the dilemma of whether to stay or leave in the face of violence",['Kashmir'],2022-06-11
134,Sticky IEDs dropped by drones from across the border seized and defused,,2022-06-07
135,"Internet suspended in Bhaderwah, parts of Kashmir",['Kashmir'],2022-06-10
